Project Name,Project Type,Maximum Flood Depth (ft),Average Area Flood Depth - Pluvial (ft),Total Flooded Area (sq ft) - Fluival,Average Flood Depth (ft) - Fluival,Area-Weighted Social Vulnerability Index (SVI),Area-Weighted Low-to-Moderate Income Index (LMI),Total Affected Population,Total Fluvial Roadway Flooding Length (ft),Total Pluvial Roadway Flooding Length (ft),Total Structures Flooded - Fluvial,Average Structure Flood Depth - Fluvial (ft),Total Structures Flooded - Pluvial,Average Structure Flood Depth - Pluvial (ft),Excess Rainfall,Pipe Length,Proxy Cost,People Benefitted,Structure Benefitted,People Efficiency,Structure Efficiency,Drainage Infrastructure Quality,maintenance_class,row_subdivision_class,district_improvement_synergy,Mean_10YR_Flood_Depth_Mean
White Oak Cir + Pl,Subdivision,2.017964,0.859946,1199732.705,2.017964,0.755912,0.628286,747.900112,5546.991749,4977.653234,<Null>,<Null>,3.137977,0.237566,2.017964,11166,12110643.6,748,4,16190.7,3027660.9,low,regular,within_existing_row,no,0.926143
Avenue ABC,Subdivision,2.013512,1.291167,821134.7195,2.013512,0.331332,0.390281,234.830205,3888.588492,3812.693147,<Null>,<Null>,5,1.083419,2.013512,9012,9774415.2,235,5,41593.25617,1954883.04,low,regular,within_existing_row,no,1.710026
Woodland Oaks,Subdivision,1.668073,1.022688,2359877.336,1.668073,0.498694,0.253084,930.446722,9701.225371,9700.348141,<Null>,<Null>,63.767889,0.697129,1.668073,18674,20253820.4,931,64,21754.90913,316465.9438,medium,regular,within_existing_row,no,0.879906
Briarcreek,Subdivision,2.295996,1.317502,4240478.487,2.295996,0.438936,0.399402,1763.773638,16604.76006,16604.76006,<Null>,<Null>,295.263206,0.571881,2.295996,33934,36804816.4,1764,296,20864.40839,124340.5959,medium,regular,within_existing_row,no,1.971907
Greenfield Village,Subdivision,1.997416,1.783407,5434901.946,1.997416,0.740655,0.572556,2140.736949,22426.25815,22426.2175,<Null>,<Null>,530.072445,1.213382,1.997416,44362,48115025.2,2141,531,22473.15516,90612.10019,medium,regular,within_existing_row,no,1.268618
Sablechase Dr,Subdivision,1.33871,1.33871,3049263.561,1.273967,0.85429,0.540464,1175.394425,13449.23603,13385.82317,<Null>,<Null>,292.951449,0.53505,1.33871,26602,28852529.2,1176,293,24534.46361,98472.7959,medium,regular,within_existing_row,no,1.067459
Greenbriar Colony,Subdivision,2.49056,2.14006,2974116.813,2.49056,0.714891,0.709369,2132.505367,12521.1784,12521.1784,<Null>,<Null>,69.996189,0.79513,2.49056,26122,28331921.2,2133,70,13282.66348,404741.7314,medium,regular,within_existing_row,no,1.321889
Chaplin/Magee/Gayhart,Subdivision,3.003148,2.604187,1222743.049,3.003148,0.664653,0.749762,647.902611,4585.234637,4565.431987,<Null>,<Null>,24.743996,1.070408,3.003148,9184,9960966.4,648,25,15371.86173,398438.656,low,regular,within_existing_row,no,1.619423
Classic Pines,Subdivision,1.188707,1.188707,678263.9593,1.05561,0.574548,0.645138,765.830376,4599.847332,4608.020422,<Null>,<Null>,0.871911,0.294391,1.188707,9832,10663787.2,766,1,13921.39321,10663787.2,high,regular,within_existing_row,no,0.480602
Westador,Subdivision,4.125984,2.447935,2493879.281,4.125984,0.524745,0.385956,420.554266,8593.444264,8593.444264,<Null>,<Null>,92.135964,0.956377,4.125984,18838,20431694.8,421,93,48531.34157,219695.643,medium,regular,within_existing_row,no,1.232004
